ID_Salmon,Largo_Prom_cm,Ancho_Prom_cm,Peso_Prom_g,Confianza_Prom,Total_Frames
0,59.204651162790704,17.753023255813954,3979.057441860465,41.696976744186045,86
2,66.44055172413792,25.138758620689654,5671.54075862069,43.90620689655172,145
3,43.02727272727273,10.724848484848485,1197.9193939393938,39.81545454545455,33
4,66.46903225806452,21.41290322580645,4729.81064516129,41.2941935483871,31
8,56.361111111111114,24.401111111111113,3461.00037037037,44.87592592592593,54
9,55.59962264150944,14.564150943396227,2814.161698113208,46.403773584905665,53
12,53.32157894736842,12.796842105263158,2286.5394736842104,43.05026315789474,38
13,54.54959183673469,17.479591836734695,2567.6673469387756,36.16469387755102,49
18,56.492051282051285,17.27948717948718,3112.0333333333333,43.83871794871795,39
22,57.628461538461536,22.609230769230766,4034.647230769231,39.32784615384615,65
28,65.01415584415585,25.26948051948052,5619.5770129870125,42.875064935064934,77
52,69.0080487804878,24.627317073170733,5363.336829268293,44.944024390243904,82
60,63.80781818181818,24.07781818181818,5158.913272727273,44.374,55
84,54.78574999999999,18.931125,4125.765375,41.944375,80
87,58.18577777777778,19.55311111111111,3529.0780000000004,39.81688888888889,45
90,35.4284375,13.6534375,1921.7778125,41.285312499999996,32
98,67.03380952380952,23.44214285714286,6566.3761904761905,42.58690476190476,42
103,64.78075471698114,20.239622641509435,5185.957358490566,41.647547169811325,53
109,69.959,20.451,5887.022333333332,43.56266666666667,30
123,57.88290322580645,14.90516129032258,5153.071935483871,41.880645161290325,31
151,84.01609756097561,27.673658536585368,9322.69756097561,42.38829268292683,41
183,47.893125,23.4740625,1892.574375,48.4025,32
185,68.5166,21.1782,6229.5344,42.82020000000001,50
188,71.50241379310346,20.208275862068966,6625.9051724137935,41.68775862068965,58
192,56.302424242424244,28.665454545454548,3379.9212121212117,41.6039393939394,33
196,72.26878787878788,15.01939393939394,6372.148787878788,43.30757575757576,33
198,59.01096774193548,20.787096774193547,4379.189838709678,42.76435483870968,62
226,51.909137931034486,18.805,3182.929655172414,39.2751724137931,58
230,72.828,20.761333333333333,5857.503333333333,44.525666666666666,30
233,67.10564102564102,18.625,7150.771794871795,42.26679487179487,78
239,56.42962264150943,15.08622641509434,3834.651509433962,41.520566037735854,53
262,61.44875,26.168977272727272,4281.22,43.64579545454546,88
278,52.50730769230769,15.182692307692308,2826.277435897436,40.57589743589744,78
299,69.87333333333333,25.065641025641025,6559.170769230769,38.48615384615385,39
315,62.23423913043479,19.026304347826088,4007.308043478261,45.89119565217391,92
316,65.82933333333332,11.457666666666666,5084.099666666666,38.29766666666667,30
328,53.70633333333333,21.500999999999998,2604.8261666666667,46.617666666666665,60
335,63.458387096774196,15.465,5006.977580645161,40.29322580645161,62
350,55.03254237288136,16.158983050847457,3590.2598305084744,42.85084745762712,59
368,63.986000000000004,23.285,4167.78825,42.0075,40
381,53.623333333333335,21.73212121212121,2582.213333333333,46.450303030303026,33
383,51.4321875,14.5109375,2046.3359375,42.4365625,32
385,56.67933333333334,18.172666666666665,2856.833,37.983333333333334,30
393,55.47631578947368,14.629473684210526,2914.249210526316,42.4671052631579,38
406,52.41970588235294,13.620882352941177,2260.739411764706,43.42029411764706,34
417,53.31780487804878,14.677560975609756,3505.259512195122,42.61975609756098,41
431,52.86571428571429,15.70047619047619,2416.253571428572,48.49904761904762,42
438,68.64,21.479,5471.0792,39.9152,50
473,64.99784615384615,15.51446153846154,4300.4070769230775,43.17446153846154,65
474,52.30860465116279,16.486976744186048,2294.9283720930234,40.9260465116279,43
489,70.4903125,20.89,5905.95875,46.6609375,32
497,60.301,23.175666666666665,4196.995333333333,45.69833333333334,30
506,50.87481481481481,13.404074074074074,2323.2716666666665,43.99074074074074,54
521,46.74810810810811,16.385135135135137,1767.6232432432432,44.06567567567568,37
551,57.915657894736846,14.394736842105264,3430.434078947368,39.83381578947368,76
559,53.27128205128205,16.442564102564102,2973.3546153846155,36.96820512820513,39
563,59.21564102564102,17.98025641025641,3355.3297435897434,42.273589743589746,39
568,46.239122807017544,13.58140350877193,1693.3312280701755,44.09052631578947,57
574,55.875454545454545,15.705844155844158,3100.4893506493504,46.20012987012987,77
578,57.38491525423729,19.494915254237288,4056.595084745763,48.15542372881356,59
581,56.70297297297298,8.647567567567567,4637.307297297297,51.05189189189189,37
585,56.301212121212124,20.276363636363637,2735.447878787879,48.18909090909091,33
596,51.36802816901409,11.901267605633803,2752.762676056338,49.456338028169014,71
609,56.24255813953488,19.420697674418605,3520.63488372093,41.88906976744186,43
615,52.73509433962264,15.037169811320755,2550.06320754717,46.41698113207547,53
616,46.42060606060606,19.664242424242424,1610.1863636363637,44.49575757575757,33
618,47.58243589743589,12.803333333333333,2386.1834615384614,48.565769230769234,78
619,51.722187500000004,19.4621875,2410.118125,47.010625,32
623,41.47433962264151,13.917735849056603,1927.8711320754717,48.28188679245283,53
634,54.12622222222222,15.596000000000002,2758.153333333333,51.88777777777777,45
637,65.06828571428571,18.730857142857143,4152.713428571428,46.41457142857143,35
652,61.424234234234234,15.748558558558559,4550.738738738739,48.79927927927928,111
653,53.843636363636364,21.947402597402597,3161.160779220779,44.45896103896104,77
656,57.08344827586207,22.858793103448274,3524.3434482758616,46.507413793103446,58
660,57.19725,12.8085,3246.2095,48.5055,80
672,54.10858974358975,13.71205128205128,3144.0715384615387,46.48448717948718,78
677,56.32382978723404,18.770851063829788,3032.6793617021276,43.99106382978723,47
679,48.18151515151515,11.108636363636363,2860.2639393939394,46.79666666666667,66
683,49.40457142857143,20.83457142857143,2967.2602857142856,44.857142857142854,70
695,50.056000000000004,16.772333333333332,1931.4696666666666,45.24966666666667,30
710,51.39253731343284,18.277910447761194,3027.110895522388,42.80985074626866,67
711,50.67208333333334,13.535625000000001,3421.726458333333,45.50083333333333,48
716,45.781894736842105,14.54663157894737,1723.5596842105265,43.131789473684215,95
732,59.080000000000005,14.382666666666667,4045.799,46.40133333333333,30
756,54.05815602836879,14.957588652482269,3013.4254609929076,44.78957446808511,141
762,53.2804081632653,8.534897959183674,2987.773265306122,46.13224489795918,49
764,42.784905660377355,15.933207547169811,1517.8769811320753,44.53358490566038,53
771,41.14939393939394,22.422727272727276,1292.8657575757575,38.9230303030303,33
783,44.62529411764706,9.897941176470589,2119.725294117647,45.34323529411765,34
791,52.16241379310345,12.407356321839082,2691.487011494253,47.77655172413794,87
800,40.37,10.526470588235293,1173.6817647058824,45.81411764705882,34
830,33.74939393939394,6.410606060606061,1824.2721212121214,48.31121212121212,33
847,43.789142857142856,10.388,1742.3774285714285,41.390571428571434,35
858,49.05916666666667,10.038958333333333,2958.7491666666665,39.949374999999996,48
868,48.930952380952384,18.292539682539683,2711.5790476190477,41.945079365079366,63
872,51.229183673469386,13.901224489795919,2619.5846938775508,40.75918367346939,49
874,50.454528301886796,14.960754716981132,2744.8430188679245,40.98301886792453,53
882,59.11257142857143,13.361142857142857,3012.1102857142855,52.693999999999996,35
891,44.352098765432096,14.13074074074074,1549.8776543209876,40.88172839506173,81
901,40.77537037037037,11.776666666666667,1429.6122222222223,45.096296296296295,54
905,54.50989690721649,12.32876288659794,2816.3181443298968,46.98525773195876,97
951,48.73919354838709,17.19209677419355,2423.876612903226,40.12935483870968,62
958,50.06823529411764,14.773529411764706,2464.3482352941173,42.06294117647059,34
965,52.45805555555555,10.071388888888889,3160.7122222222224,42.19027777777777,36
969,47.80433333333333,5.321666666666667,1797.8100000000002,51.052,30
971,48.453962264150945,16.117735849056604,2096.259433962264,41.9677358490566,53
976,55.48825396825397,25.33126984126984,2890.515238095238,46.087936507936504,63
977,48.756052631578946,15.326052631578946,1956.2976315789474,46.652631578947364,38
998,53.79677419354839,18.116774193548387,2301.9748387096774,41.03064516129032,31
1002,51.632,20.520599999999998,2704.1241999999997,45.525,50
1021,48.35516129032258,7.289677419354838,2455.978064516129,41.86870967741935,31
1032,50.39818181818181,12.469393939393939,2888.2324242424243,43.57575757575758,33
1033,53.69098360655738,15.459180327868852,3037.340983606557,45.404754098360655,61
1035,51.07545454545455,18.176060606060606,2455.555151515152,39.82515151515152,33
1040,51.99685393258427,17.32943820224719,2299.908651685393,46.07943820224719,89
1073,43.899,13.649666666666667,1768.2353333333333,47.300333333333334,30
