ID_Salmon,Largo_Prom_cm,Ancho_Prom_cm,Peso_Prom_g,Confianza_Prom,Total_Frames
0,59.204651162790704,17.753023255813954,3979.057441860465,41.696976744186045,86
1,76.85952380952381,17.079047619047618,7153.105238095238,44.890952380952385,21
2,66.44055172413792,25.138758620689654,5671.54075862069,43.90620689655172,145
3,43.02727272727273,10.724848484848485,1197.9193939393938,39.81545454545455,33
4,66.46903225806452,21.41290322580645,4729.81064516129,41.2941935483871,31
8,56.361111111111114,24.401111111111113,3461.00037037037,44.87592592592593,54
9,55.59962264150944,14.564150943396227,2814.161698113208,46.403773584905665,53
12,53.32157894736842,12.796842105263158,2286.5394736842104,43.05026315789474,38
13,54.54959183673469,17.479591836734695,2567.6673469387756,36.16469387755102,49
14,61.313125,15.285,3380.3737499999997,46.844375,16
15,52.815294117647056,24.21294117647059,1951.4676470588233,56.71764705882353,17
18,56.492051282051285,17.27948717948718,3112.0333333333333,43.83871794871795,39
22,57.628461538461536,22.609230769230766,4034.647230769231,39.32784615384615,65
24,67.78333333333333,41.278333333333336,4717.430833333333,43.66,12
28,65.01415584415585,25.26948051948052,5619.5770129870125,42.875064935064934,77
41,62.486315789473686,12.412105263157894,3720.782631578947,36.75684210526316,19
43,76.77117647058823,57.04,8494.600588235293,44.534705882352945,17
46,40.135714285714286,14.162857142857144,1091.7257142857143,40.53857142857142,7
47,76.63166666666666,17.545,6248.781666666667,49.68611111111111,18
51,63.4775,24.48375,3724.0987499999997,47.64125,8
52,69.0080487804878,24.627317073170733,5363.336829268293,44.944024390243904,82
53,57.260000000000005,11.407,3167.674,38.956,10
60,63.80781818181818,24.07781818181818,5158.913272727273,44.374,55
61,59.50217391304348,18.60782608695652,4506.273913043478,40.84217391304348,23
62,52.77434782608695,15.803043478260868,3835.137391304348,44.24826086956522,23
65,54.2425,11.35125,2326.8849999999998,37.4475,8
69,61.629583333333336,18.015416666666667,5217.1170833333335,41.47416666666667,24
75,62.41833333333333,18.23888888888889,5172.222777777777,39.17444444444445,18
76,51.96222222222222,18.941481481481482,2768.9111111111106,46.59148148148148,27
84,54.78574999999999,18.931125,4125.765375,41.944375,80
87,58.18577777777778,19.55311111111111,3529.0780000000004,39.81688888888889,45
90,35.4284375,13.6534375,1921.7778125,41.285312499999996,32
91,71.69583333333334,12.863333333333332,6139.845,47.74,12
98,67.03380952380952,23.44214285714286,6566.3761904761905,42.58690476190476,42
102,53.634,10.482,2625.014,40.356,5
103,65.33442307692307,20.628846153846155,5274.4773076923075,41.850769230769224,52
109,69.959,20.451,5887.022333333332,43.56266666666667,30
123,56.985,14.313076923076922,5167.825769230769,39.486538461538466,26
139,65.60166666666667,48.06666666666666,8149.941666666667,32.913333333333334,6
143,41.032,14.762,1137.884,34.146,5
145,57.81,16.287142857142857,4091.9842857142858,43.80357142857143,14
149,42.29,20.342,1936.756,43.25,15
151,84.01609756097561,27.673658536585368,9322.69756097561,42.38829268292683,41
154,71.338,40.131,6168.532,47.352,10
155,44.89043478260869,12.184347826086958,2318.1365217391303,39.167826086956524,23
157,54.31333333333333,15.75,2541.7341666666666,34.53666666666667,12
158,63.07714285714286,12.602857142857143,3792.2400000000002,36.44,7
163,64.92,27.32375,4272.85625,43.50375,8
171,86.01375,40.433749999999996,10682.86875,42.073750000000004,8
180,56.40999999999999,22.294,2845.174,50.394,5
181,69.38214285714285,15.531428571428572,6706.99,40.74857142857143,14
183,49.48066666666667,24.289666666666665,2002.5716666666667,49.132666666666665,30
184,70.18875,21.928125,6248.569375,39.884375,16
185,68.5166,21.1782,6229.5344,42.82020000000001,50
188,72.86895833333334,20.543958333333332,6641.876666666667,41.574374999999996,48
190,43.85857142857143,1.0585714285714285,1697.5742857142857,38.607142857142854,7
192,57.653571428571425,32.195,3713.9025,41.621785714285714,28
196,72.26878787878788,15.01939393939394,6372.148787878788,43.30757575757576,33
198,66.56729729729729,20.1527027027027,5405.28027027027,40.47513513513513,37
219,76.4508,20.4412,8359.3588,42.6484,25
226,68.62692307692308,8.391538461538461,5859.547692307692,33.68769230769231,13
230,75.98192307692308,21.036153846153844,6314.538461538462,45.607692307692304,26
232,78.87352941176471,24.848823529411764,8429.51588235294,37.07647058823529,17
233,97.86533333333334,21.863999999999997,18871.152,44.35733333333334,15
239,58.205333333333336,13.181999999999999,3027.733,42.12,30
242,82.44125,10.4525,18439.19625,38.972500000000004,8
255,53.33,20.278,3216.5379999999996,29.436,5
259,63.818000000000005,12.442,3569.7339999999995,42.284000000000006,5
260,69.896,23.792,4821.378,37.012,5
270,79.02111111111111,12.007777777777777,7712.846666666666,40.394444444444446,9
277,59.208333333333336,9.846666666666666,3487.9366666666665,43.961666666666666,6
278,55.660000000000004,8.8,3347.522,38.012,5
